workerid,proliferate.condition,chain_type,error
80,accidental,accidental,
70,accidental,accidental,
62,accidental,accidental,
95,accidental,accidental,
100,accidental,accidental,
60,accidental,accidental,
76,accidental,accidental,
72,accidental,accidental,
78,accidental,accidental,
64,accidental,accidental,
86,accidental,accidental,
92,accidental,accidental,
99,accidental,accidental,
88,accidental,accidental,
90,accidental,accidental,
94,accidental,accidental,
68,accidental,accidental,
84,accidental,accidental,
66,accidental,accidental,
82,accidental,accidental,
89,intentional,intentional,
87,intentional,intentional,
91,intentional,intentional,
61,intentional,intentional,
77,intentional,intentional,
79,intentional,intentional,
83,intentional,intentional,
98,intentional,intentional,
75,intentional,intentional,
63,intentional,intentional,
96,intentional,intentional,
101,intentional,intentional,
59,intentional,intentional,
81,intentional,intentional,
73,intentional,intentional,
67,intentional,intentional,
69,intentional,intentional,
71,intentional,intentional,
93,intentional,intentional,
65,intentional,intentional,
