workerid,proliferate.condition,age,ethnicity,gender,race,error
80,accidental,54,Non-Hispanic,Female,White,
70,accidental,64,Non-Hispanic,Male,White,
62,accidental,69,Non-Hispanic,Male,White,
95,accidental,71,Non-Hispanic,Female,White,
100,accidental,71,Non-Hispanic,Female,White,
60,accidental,47,Hispanic,Male,White,
76,accidental,37,Non-Hispanic,Male,White,
72,accidental,47,Non-Hispanic,Male,White,
78,accidental,54,Non-Hispanic,Male,White,
64,accidental,43,Non-Hispanic,Female,Black/African American,
86,accidental,43,Non-Hispanic,Male,White,
92,accidental,20,Non-Hispanic,Non-binary,Black/African American,
99,accidental,37,Non-Hispanic,Female,White,
88,accidental,71,Non-Hispanic,Female,White,
90,accidental,23,Non-Hispanic,Male,Black/African American,
94,accidental,46,Hispanic,Male,White,
68,accidental,50,Non-Hispanic,Female,White,
84,accidental,41,Non-Hispanic,Non-binary,White,
66,accidental,32,Non-Hispanic,Male,Asian,
82,accidental,24,Non-Hispanic,Female,White,
89,intentional,44,Non-Hispanic,Female,White,
87,intentional,51,Non-Hispanic,Male,White,
91,intentional,38,Non-Hispanic,Female,White,
61,intentional,51,Non-Hispanic,Male,White,
77,intentional,36,Non-Hispanic,Male,White,
79,intentional,71,,Female,White,
83,intentional,39,Hispanic,Male,White,
98,intentional,31,Hispanic,Male,White,
75,intentional,46,Non-Hispanic,Female,White,
63,intentional,51,Non-Hispanic,Female,White,
96,intentional,54,Non-Hispanic,Male,White,
101,intentional,23,Hispanic,Male,Black/African American,
59,intentional,25,Non-Hispanic,Male,White,
81,intentional,43,Hispanic,Male,White,
73,intentional,72,Non-Hispanic,Female,White,
67,intentional,52,Non-Hispanic,Female,White,
69,intentional,45,Non-Hispanic,Female,White,
71,intentional,35,Non-Hispanic,Female,White,
93,intentional,,Non-Hispanic,Male,White,
65,intentional,28,Hispanic,Male,White,
