workerid,proliferate.condition,bike_cause,bike_fault,bike_punishment,bike_simple,mirror_cause,mirror_fault,mirror_punishment,mirror_simple,error
80,accidental,Susy's fault the fence is broken.,Susy's fault.,"No, no one should be punished, it was an accident.",Susy.,"Bobby caused the mirror to crack, unintentionally.","No one's fault, it was an accident, Sophia didn't mean to scare Bobby.","No, no one should be punished, it was an accident. ",Bobby cracked the mirror.,
70,accidental,"Suzy, because she fell into the fence.",The fence builder. ,The fence builder.,Suzy broke the fence.,"Sophie, because she scared Bobby.",The person that putt he mirror there.,"Yes, whoever decided to put the mirror there.",Bobby cracked the mirror.,
62,accidental,The boy.,"This was an accident where no fault should be assigned. At worst, possibly a defective chain gear on the bike.",No one was at fault.,Suzie,Bobby was startled by the appearance of Sophia.,It was an accident. There really isn't a fault to speak of.,"No. Again, this was an accident where fault should not be assigned.",Bobby bumped the mirror and it cracked.,
95,accidental,Andy,Both,Neither - it was an accident,Suzy,Sophia,It was nobody's fault - nothing was done on purpose.,Neither one,Bobby,
100,accidental,"The girl fell into the fence, but it was the bicycle rider who ran into her, because his chain broke on his bike.","The broken chain on the bicycle is responsible, as if it hadn't broken, nothing would have happened.","It was an accident, no one should be punished.",Suzy,"
It was really Sophia because she scared Bobby, and he fell into the mirror.  He actually cracked the mirror, but it was really her fault.","It is Sophia's fault as she startled Bobby, and he fell into the mirror.","It was an accident, no one should be punished.",Bobby cracked the mirror.,
60,accidental,Andy,Andy's fault.,"I wouldn't punish anyone, as it was an accident.",Suzy,Bobby,Bobby,No one should be punished.,Bobby,
76,accidental,suzy,suzy,"no, it was an accident",suzy,Bobby,bobby,"no, it was an accident",Bobby,
72,accidental,It was a combination of both children due to an unfortunate scenario. ,"Blame cannot be placed in this scenario. Nobody wanted this to happen, nor do the children have anything to gain from a broken fence.",A broken fence is no reason to punish a child since neither child intended for it to happen. It is good that they were not hurt!,"Suzy broke the fence physically, so it was her.",They both had a hand in causing it. ,Neither child can be blamed for the mirror. It was caused by a random occurrence that cannot be helped now.,It was purely accidental and a broken mirror is certainly no reason to punish a child.,"Bobby cracked the mirror physically, therefore he cracked it, even though it would not have happened if he was not surprised.",
78,accidental,Andy,Andy,No one,Suzy,Bobby,Bobby,No one,Bobby,
64,accidental,Andy caused the fence to break,Really it's no ones fault but if someone had to take the blame it would be Andy but it was a mistake into an add free stations unlimited,No one should be punished it was an accident.,Suzy accidentally broke the fence,the girl caused the mirror to crack,It's really no one's fault because it was a mistake but if someone had to be Tulane it would be the little girl because she startled him.,No one should be punished it was a mistake.,Bobby cracked the mirror.,
86,accidental,The boy,Nobodies,Nobody should be punished.,The girl,The girl,Nobodies,Nobody should be punished,The boy,
92,accidental,Suzy. She jumped into it. ,suzy,"no, accidents happen and the owner should expect such as it wasnt deliberate",suzy,bobby,bobby,no,boibby,
99,accidental,"The chain slipping caused Andy to lose control, which caused Suzy to break the fence.",It wasn't anyone's fault because it was an accident. The chain slipping was out of Andy's control.,I don't think anyone should be punished because it was an accident. I think Andy's parents should be responsible for fixing and/or paying for the fence.,"Suzy technically broke the fence, but it was because of Andy. Again, Andy didn't intend to.","Sophia caused Bobby to be startled and fall into the mirror, which cracked it.",It's no one's fault. It was an accident.,I don't think anyone should be punished. It was an accident.,Bobby cracked the mirror because Sophia startled him on accident.,
88,accidental,Andy caused it to break.,It is Andy's fault that the fence broke.,Nobody should be punished because it was an accident.,Suzy broke the fence.,Bobby caused the mirror to crack.,It is Bobby's fault the mirror cracked.,Nobody should be punished because it was an accident.,Bobby cracked the mirror.,
90,accidental,Suzy ,Nobody's,Nobody should,Andy,Bobby and Sophia,Nobody's fault,Nobody should be punished,"Bobby
",
94,accidental,"Suzy is the one that fell into the fence, but it was unintentional. ",Neither child is at fault. This is truly an accident. ,No one should be punished. The parents need to maintain safety of the bike. ,"Suzy is the one that fell into the fence, but it was an accident. ","Bobby fell into the mirror, causing it to crack. ",Bobby fell into the mirror but it was an accident. ,No one should be punished. ,The boy cracked the mirror although it was an accident. ,
68,accidental,Neither person directly caused the fence to break.,"It is no one's fault that the fence is broken, it was an accident due to the bike chain slipping",no one should be punished ,Neither person broke the fence - it broke because of an accident,It was an accident - Bobby was startled by Maria and fell into it.,It is no one's fault - it was an accident and bad timing.,No one should be punished.,Technically it was Bobby's body that cracked the mirror but they didn't crack it on purpose.,
84,accidental,suzy,no one is at fault,no one should be punished,suzie,bobby,no ones fault,no one should be punished,bobby,
66,accidental,Andy,Nobody's fault. ,Noone should be punished. It wasn't anyone's fault that the chain got tangled and suzy got hit. ,Andy,Bobby,Bobby,Noone should be punished. ,Bobby,
82,accidental,the boy,the boy,No- it was an accident.,suzy,bobby,bobby,no,bobby,
89,intentional,Andy when he ran into Suzi,Andy,Andy should be punished,Suzi,Sophia,Sophia,"Sophia, she planned this to be bad",Bobby,
87,intentional,The boy caused the fence to be broken since he intentionally hit the girl in order to have her break the fence.,The boy is at fault in this situation.,The boy should be punished for both hitting the girl with his bike and also for his intentions.,The girl physically broke the fence.,Sophia caused the mirror to crack because she intentionally scared the boy in order to get him to break the mirrior.,It is Sophia's fault that the mirror cracked since she is the one responsible.,Sophia should be punished because she called the boy into the room and then intentionally scared him for the purpose of breaking the mirror.,The boy physically caused the mirror to crack by running into it after he was scared.,
91,intentional,Andy ,Andy ,"Yes, and Andy ",Andy ,Sophia,Sophia,"Yes, Sophia",Sophia,
61,intentional,Andy (the boy on the bike),Andy (the boy on the bike),Yes. Andy (the boy on the bike),Andy (the boy on the bike),Sophia,Sophia,Yes.  Sophia. ,Sophia,
77,intentional,Andy,Andy,Andy,Andy,She did,The girl,"Yes, she should be punished for doing that on purpose even though nobody was hurt",The boy,
79,intentional,Andy,Andy,"yes, Andy",Andy,Sophia,Sophia,Sophia,Sophia,
83,intentional,"I would say Andy, as he knocked Suzy into it.",Andy.,Andy.,"Suzy hitting it broke it, but Andy caused that, so I would say Andy overall.",Sophia scaring Bobby caused the mirror to be cracked.,I would say Sophia is responsible/ at fault.,Sophia.,"Bobby physically cracked it, but Sophia caused him to.",
98,intentional,Andy,Andy,Andy since he intentionally wanted to hurt Suzy,Suzy,Sophia,Sophia,"Yes, Sophia",Bobby,
75,intentional,"Alex, the boy on the bike. ","It was Alex's fault, I think that's his name, the boy on the bike. He purposely hit the girl so she would fall into the fence and break it. ","Yes, I think Alex should be punished because he made a decision to hit the girl with the intention of her breaking the fence. ","Technically the girl broke the fence, but it wasn't her fault. ","Sophia, because of the actions she chose.","It is Sophia's fault, she intended to crack the mirror and scared Bobby on purpose so it would happen. ","Yes, Sophia. ","Technically it was Bobby who physically broke it, but it was Sophia's fault. ",
63,intentional,Andy,Andy,Andy,"Suzy technically broke it, but it was Andys fault because he pushed her into it","Bobby technically did, but it was due to being scared by Suzy",Suzy,Suzy,"Suzy, even though it was technically Bobby who fell into it",
