workerid,proliferate.condition,condition,error
305,intentional,intentional,
309,intentional,intentional,
297,intentional,intentional,
314,intentional,intentional,
281,intentional,intentional,
283,intentional,intentional,
289,intentional,intentional,
285,intentional,intentional,
295,intentional,intentional,
299,intentional,intentional,
301,intentional,intentional,
287,intentional,intentional,
316,intentional,intentional,
311,intentional,intentional,
319,intentional,intentional,
291,intentional,intentional,
321,intentional,intentional,
307,intentional,intentional,
303,intentional,intentional,
293,intentional,intentional,
313,accidental,accidental,
282,accidental,accidental,
292,accidental,accidental,
300,accidental,accidental,
315,accidental,accidental,
302,accidental,accidental,
294,accidental,accidental,
290,accidental,accidental,
298,accidental,accidental,
296,accidental,accidental,
322,accidental,accidental,
365,accidental,accidental,
318,accidental,accidental,
304,accidental,accidental,
286,accidental,accidental,
284,accidental,accidental,
312,accidental,accidental,
306,accidental,accidental,
320,accidental,accidental,
310,accidental,accidental,
