workerid,proliferate.condition,bike_cause,bike_fault,bike_punish,bike_simple,mirror_cause,mirror_fault,mirror_punish,mirror_simple,error
305,intentional,Andy did,it was Andy,Andy should be punnished,Andy did by using suzy,Sophia caused the mirror to crack by her actions.,Sophia,Sophia should be punnished.,Sophia cracked the mirrow by using bobby,
309,intentional,Andy,Andy,Andy,Suzy,Sophia,Sophia,Sophia,Bobby,
297,intentional,Andy,Andy,Andy should be punished since he hit Suzy and Suzy finally smashed the fence,Suzy,Sophia,Sophia,"Sophia should be punished since she pushed Bobby, who smashes the mirror",Sophia,
314,intentional,The boy Andy?,The boy Andy?,The boy Andy?,The boy Andy? ran into Suzy on purpose to make her break the fence.,Sophia,Sophia,Sophia,Sophia pushed Bobby into the mirror cracking it.,
281,intentional,The boy caused it,It was the boy's fault,The boy should be punished,The boy broke the fence by what he did. ,The girl caused the mirror to crack. ,It was the girls fault,The girl should be punished. ,I was shocked that the child was violent. ,
283,intentional,Suzy technically broke the fence with her body but Andy caused her to fall into the fence,It's Andy's fault because he ran into Suzy,Andy for hitting Suzy on purpose,Suzy's body broke the fence due to being hit by Andy,Sophia,Sophia,Sophia,Bobby,
289,intentional,"Andy pedaling on his bike provided the force needed to hit Suzy into the fence, causing it to break.",Andy,"Andy, he essentially pushed Suzy into the fence",Andy,Sophia,Sophia,"Sophia, since she was the one who pushed Bobby into the mirror causing it to crack.",Bobby,
285,intentional,Andy.,Andy.,Andy.,Andy.,Sophia did.,Sophia's fault.,Yes. Sophia.,Sophia cracked the mirror by pushing Bobby into it.,
295,intentional,Andy caused the fence to break because he ran into Suzy on purpose.,It is Andy's fault that the fence is broken.,Andy should be punished.,Suzy fell into the fence but it was because of Andy.,She did.,It is Sophia's fault.,Sophia should be punished.,Sophia because she pushed him into the mirror.,
299,intentional,Andy caused the fence to break.,It is Andy's fault.,Andy should be punished.,"Suzy's body broke the fence, but Andy caused it.",Sophia caused the mirror to crack with Bobby's body.,It is Sophia's fault.,Sophia should be punished.,"Sophia cracked the mirror, because she intentionally pushed Bobby into  it.",
301,intentional,Suze fell on fence a broke it.,Andy was at fault.,Yes Andy should be punished for being mean hitting Suze with bike on purpose.,Suze broke the fence after being hit by Andy riding bike and hitting her on purpose!,Bobby fell into mirror,Sophia,"Yes, Sophia for pushy Bobby into mirror and breaking it.",Bobby,
287,intentional,Andy caused the fence to break by pushing Suzy into it,Andy 100%,Andy,Suzy broke the fence but only because Andy pushed her into it,Bobby,Bobby,Bobby 100%,Bobby,
316,intentional,"Andy rode his bike into Suzy, causing her to crash into the fence and breaking it.",It is Andy's fault.,"Yes, Andy should be punished as it was dangerous and cruel to run his bike into Suzy.",Andy broke the fence because he purposely crashed into Suzy so that the fence would break.,Sophia caused the crack by pushing Bobby into the mirror.,It is Sophia's fault.,"Yes, Sophia should be punished because pieces of the mirror could have gotten into their eyes or caused other damage.",Bobby cracked the mirror only because Sophia pushed him.,
