workerid,proliferate.condition,scenario_order,error
305,intentional,mirror,
305,intentional,bike,
309,intentional,mirror,
309,intentional,bike,
297,intentional,bike,
297,intentional,mirror,
314,intentional,bike,
314,intentional,mirror,
281,intentional,mirror,
281,intentional,bike,
283,intentional,bike,
283,intentional,mirror,
289,intentional,bike,
289,intentional,mirror,
285,intentional,mirror,
285,intentional,bike,
295,intentional,bike,
295,intentional,mirror,
299,intentional,mirror,
299,intentional,bike,
301,intentional,bike,
301,intentional,mirror,
287,intentional,bike,
287,intentional,mirror,
316,intentional,bike,
316,intentional,mirror,
311,intentional,bike,
311,intentional,mirror,
319,intentional,mirror,
319,intentional,bike,
291,intentional,bike,
291,intentional,mirror,
321,intentional,bike,
321,intentional,mirror,
307,intentional,mirror,
307,intentional,bike,
303,intentional,bike,
303,intentional,mirror,
293,intentional,bike,
293,intentional,mirror,
313,accidental,bike,
313,accidental,mirror,
282,accidental,mirror,
282,accidental,bike,
292,accidental,bike,
292,accidental,mirror,
300,accidental,bike,
300,accidental,mirror,
315,accidental,bike,
315,accidental,mirror,
302,accidental,bike,
302,accidental,mirror,
294,accidental,bike,
294,accidental,mirror,
290,accidental,bike,
290,accidental,mirror,
298,accidental,mirror,
298,accidental,bike,
296,accidental,mirror,
296,accidental,bike,
322,accidental,bike,
322,accidental,mirror,
365,accidental,bike,
365,accidental,mirror,
318,accidental,mirror,
318,accidental,bike,
304,accidental,mirror,
304,accidental,bike,
286,accidental,mirror,
286,accidental,bike,
284,accidental,mirror,
284,accidental,bike,
312,accidental,mirror,
312,accidental,bike,
306,accidental,bike,
306,accidental,mirror,
320,accidental,bike,
320,accidental,mirror,
310,accidental,bike,
310,accidental,mirror,
