workerid,proliferate.condition,condition,error
635,absence,absent,
604,absence,absent,
633,absence,absent,
643,absence,absent,
641,absence,absent,
625,absence,absent,
614,absence,absent,
631,absence,absent,
616,absence,absent,
622,absence,absent,
610,absence,absent,
606,absence,absent,
627,absence,absent,
646,absence,absent,
637,absence,absent,
639,absence,absent,
620,absence,absent,
612,absence,absent,
608,absence,absent,
629,absence,absent,
632,present,present,
638,present,present,
619,present,present,
617,present,present,
603,present,present,
640,present,present,
609,present,present,
626,present,present,
630,present,present,
623,present,present,
605,present,present,
615,present,present,
642,present,present,
628,present,present,
611,present,present,
644,present,present,
624,present,present,
636,present,present,
634,present,present,
