workerid,proliferate.condition,balloon_cause_pop,balloon_cause_sad,balloon_pop,balloon_sad,drum_anger,drum_break,drum_cause_anger,drum_cause_break,error
635,absence,distal,distal,distal,distal,distal,distal,distal,distal,
604,absence,distal,distal,distal,distal,distal,distal,distal,distal,
633,absence,distal,distal,proximal,distal,distal,proximal,distal,distal,
643,absence,distal,distal,proximal,distal,distal,distal,distal,distal,
641,absence,distal,distal,distal,distal,distal,distal,distal,distal,
625,absence,distal,distal,distal,distal,distal,proximal,distal,distal,
614,absence,distal,distal,proximal,proximal,proximal,proximal,distal,distal,
631,absence,distal,distal,proximal,distal,distal,proximal,distal,distal,
616,absence,distal,distal,proximal,distal,proximal,distal,distal,distal,
622,absence,distal,proximal,distal,proximal,proximal,proximal,proximal,distal,
610,absence,proximal,distal,proximal,distal,distal,distal,distal,distal,
606,absence,distal,proximal,proximal,proximal,distal,distal,distal,distal,
627,absence,distal,distal,proximal,proximal,proximal,distal,distal,distal,
646,absence,distal,distal,proximal,distal,distal,distal,proximal,distal,
637,absence,distal,proximal,proximal,proximal,proximal,proximal,proximal,distal,
639,absence,distal,distal,proximal,distal,distal,distal,distal,distal,
620,absence,distal,distal,distal,distal,distal,distal,distal,distal,
612,absence,distal,distal,distal,distal,distal,distal,distal,distal,
608,absence,distal,distal,distal,distal,distal,distal,distal,distal,
629,absence,distal,distal,proximal,proximal,distal,proximal,distal,distal,
632,present,distal,distal,distal,distal,distal,distal,distal,distal,
638,present,distal,distal,proximal,distal,proximal,proximal,distal,distal,
619,present,distal,distal,distal,distal,distal,proximal,distal,distal,
617,present,proximal,proximal,distal,proximal,distal,proximal,proximal,distal,
603,present,distal,distal,distal,distal,distal,distal,distal,distal,
640,present,proximal,proximal,proximal,proximal,distal,proximal,distal,distal,
609,present,proximal,distal,proximal,distal,distal,proximal,distal,distal,
626,present,distal,distal,distal,distal,proximal,proximal,distal,distal,
630,present,distal,distal,proximal,distal,distal,distal,distal,distal,
623,present,distal,distal,proximal,distal,distal,proximal,distal,distal,
605,present,distal,distal,distal,distal,distal,distal,distal,distal,
615,present,distal,distal,proximal,distal,distal,proximal,distal,distal,
642,present,distal,distal,proximal,distal,distal,distal,distal,distal,
628,present,distal,distal,proximal,distal,distal,proximal,distal,distal,
611,present,distal,proximal,proximal,proximal,distal,proximal,proximal,distal,
644,present,distal,distal,proximal,distal,distal,proximal,distal,distal,
624,present,distal,distal,proximal,proximal,distal,distal,distal,distal,
636,present,distal,distal,proximal,distal,distal,proximal,distal,distal,
634,present,proximal,distal,proximal,distal,distal,proximal,proximal,proximal,
