workerid,proliferate.condition,age,ethnicity,gender,race,error
556,mental,33,Non-Hispanic,Male,White,
524,mental,32,Non-Hispanic,Female,White,
551,mental,38,Non-Hispanic,Female,White,
461,mental,24,Non-Hispanic,Female,White,
491,mental,47,Non-Hispanic,Female,White,
469,mental,48,Non-Hispanic,Male,White,
463,mental,40,Non-Hispanic,Female,Asian,
534,mental,55,Non-Hispanic,Female,White,
538,mental,24,Non-Hispanic,Male,White,
476,mental,55,Hispanic,Female,White,
520,mental,51,Non-Hispanic,Female,White,
484,mental,38,Non-Hispanic,Female,White,
480,mental,32,Non-Hispanic,Male,White,
547,mental,32,Non-Hispanic,Male,White,
542,mental,74,Non-Hispanic,Female,White,
500,mental,56,Non-Hispanic,Male,White,
471,mental,45,Non-Hispanic,Male,White,
467,mental,41,Non-Hispanic,Male,White,
510,mental,41,Hispanic,Female,White,
527,mental,59,Non-Hispanic,Female,White,
470,physical,37,Non-Hispanic,Female,White,
554,physical,49,Non-Hispanic,Male,White,
518,physical,49,Non-Hispanic,Female,White,
522,physical,24,Non-Hispanic,Male,White,
483,physical,32,Non-Hispanic,Male,White,
535,physical,40,Non-Hispanic,Female,White,
525,physical,55,Non-Hispanic,Female,White,
504,physical,24,Non-Hispanic,Non-binary,White,
498,physical,53,Non-Hispanic,Male,White,
492,physical,56,Non-Hispanic,Female,White,
496,physical,33,Non-Hispanic,Male,White,
552,physical,50,Non-Hispanic,Male,,
468,physical,55,Non-Hispanic,Female,White,
549,physical,51,Non-Hispanic,Female,Black/African American,
541,physical,21,Non-Hispanic,Female,White,
544,physical,39,Non-Hispanic,Male,Black/African American,
473,physical,37,Non-Hispanic,Female,White,
478,physical,44,Non-Hispanic,Male,Asian,
528,physical,54,Non-Hispanic,Female,White,
503,physical,57,Non-Hispanic,Female,White,
