workerid,proliferate.condition,hurt_cause,hurt_lexical,shock_cause,shock_lexical,error
556,mental,Ben,Ben,Tommy,Andy,
524,mental,Ben missed her birthday party.,Ben,The fact that Suzy will not be coming to his basketball game.,Andy,
551,mental,Ben,Ben,Suzy,Tommy,
461,mental,Ben,Ben,Suzy,Suzy,
491,mental,Amy telling kate that Ben isn't coming,Ben,Andy did by telling him suzy isn't coming,Andy,
469,mental," Ben, because he didn't show up.  Amy was just the messenger. ",Ben,"the boy, I forget his name already",the boy,
463,mental,Ben because he forgot her birthday and did not go as a result. ,Ben because he forgot her birthday and could not go as a result. ,The girl because she could not go to the game. ,The girl because she did not go to the game. ,
534,mental,"Her friend, Ben, didn't come to her birthday party",Ben,He was shocked that his friend forgot his game and didn't come,Andy,
538,mental,Kate's own insatiable ego couldn't handle the fact that Ben's video games are more important to him than her.,"Kate hurt herself by getting upset, Ben had no obligation to show up to her birthday party and she needs to suck it up.",The guy telling him the news,The guy telling him the news shocked him,
476,mental,Amy caused the hurt by telling Kate the bad news.,Ben hurt Kate by not showing up for the birthday party.,Andy caused him to be shocked when he told him the news about Suzy.,Tommy was shocked that Suzy won't be coming to see him in the basketball game.,
520,mental,Ben actually because he didn't go to the party.,"Amy, by telling Kate that Ben won't be coming to her bday party.",Andy,Andy shocked Tommy by telling him Suzy wasn't coming to the game.,
484,mental,ben,ben,suzy,suzy,
480,mental,Ben,Ben,Suzy,Andy,
547,mental,Amy,Amy,Andy,Andy,
542,mental,Ben hurt Kate's feelings by coming to her birthday party.,Ben hurt Kate.,Andy told Tommy that Suzie wouldn't be coming to the basketball game.,Suzie shocked Tommy by not coming to his basketball game.,
500,mental,amy,ben,andy,andy,
471,mental,Ben,Ben,Suzie,Andy,
467,mental,Ben,Ben,Suzy,Suzy,
510,mental,Ben caused Kate hurt because he did not come to her birthday,Ben not coming hurt Kate,Suzy caused Tommy to be shocked,Andy when he told her that his other friend Suzy was not coming to his game,
527,mental,The boy that's caught up in playing his video games.,Amy by telling Kate that tommy wouldn't be comings,Andy,Andy saying she wouldn't be coming to see the game.,
470,physical,"Tommy and Suzy both did. Tommy forgot to put the safety cap back on, and Suzy didn't pay attention to what she was doing.","Suzy was the one holding the scissors, so she is the one actively responsible even if it was Tommy who made it possible.",Amy is at fault as the one who removed the safety mechanism.,The one who was holding the wand. I forgot her name.,
554,physical,Tommy, The knife,Castle,The castle,
518,physical,Suzy,Suzy,Ben is hurt by the want.,cate,
522,physical,Tommy,The scissors,The wand,The wand,
483,physical,suzy,suzy,amy,amy,
535,physical,Technically everyone is to blame. Tommy for not putting the safety cap back on. Suzy for not handing the scissors carefully to Andy or noticing the safety cap was gone. Even Andy for not noticing the safety cap was missing before taking the scissors. ,"Technically the scissors hurt Andy, not an actual person. However otherwise you could argue that everyone hurt Andy, including Andy himself, since everyone shares blame. Otherwise you could also argue that only Andy is to blame since he should watch out for himself and not everyone else.","The manufacturer of the wand to have such a dumb toy that can shock children. What a design flaw. id' say none of the kids are really to blame. 

Otherwise you could say everyone is to blame. Ben for not noticing the star was missing. Kate for not noticing the star was missing, and Amy for not putting the star back on the wand to begin with.","You could argue that Ben shocked himself by not noticing the wand was missing the star, as he should only try to be responsible for himself first. ",
