workerid,proliferate.condition,condition,error
588,physical,physical,
572,physical,physical,
578,physical,physical,
586,physical,physical,
582,physical,physical,
562,physical,physical,
599,physical,physical,
595,physical,physical,
568,physical,physical,
558,physical,physical,
574,physical,physical,
576,physical,physical,
597,physical,physical,
566,physical,physical,
560,physical,physical,
591,physical,physical,
593,physical,physical,
570,physical,physical,
584,physical,physical,
589,physical,physical,
587,mental,mental,
565,mental,mental,
567,mental,mental,
596,mental,mental,
583,mental,mental,
601,mental,mental,
571,mental,mental,
561,mental,mental,
579,mental,mental,
563,mental,mental,
581,mental,mental,
592,mental,mental,
585,mental,mental,
573,mental,mental,
575,mental,mental,
590,mental,mental,
559,mental,mental,
569,mental,mental,
598,mental,mental,
594,mental,mental,
577,mental,mental,
