workerid,proliferate.condition,question_order,error
588,physical,lexical,
588,physical,cause,
572,physical,cause,
572,physical,lexical,
578,physical,cause,
578,physical,lexical,
586,physical,cause,
586,physical,lexical,
582,physical,lexical,
582,physical,cause,
562,physical,cause,
562,physical,lexical,
599,physical,lexical,
599,physical,cause,
595,physical,cause,
595,physical,lexical,
568,physical,lexical,
568,physical,cause,
558,physical,cause,
558,physical,lexical,
574,physical,lexical,
574,physical,cause,
576,physical,cause,
576,physical,lexical,
597,physical,lexical,
597,physical,cause,
566,physical,lexical,
566,physical,cause,
560,physical,lexical,
560,physical,cause,
591,physical,lexical,
591,physical,cause,
593,physical,lexical,
593,physical,cause,
570,physical,cause,
570,physical,lexical,
584,physical,cause,
584,physical,lexical,
589,physical,lexical,
589,physical,cause,
587,mental,lexical,
587,mental,cause,
565,mental,cause,
565,mental,lexical,
567,mental,cause,
567,mental,lexical,
596,mental,lexical,
596,mental,cause,
583,mental,lexical,
583,mental,cause,
601,mental,lexical,
601,mental,cause,
571,mental,lexical,
571,mental,cause,
561,mental,cause,
561,mental,lexical,
579,mental,lexical,
579,mental,cause,
563,mental,lexical,
563,mental,cause,
581,mental,lexical,
581,mental,cause,
592,mental,cause,
592,mental,lexical,
585,mental,lexical,
585,mental,cause,
573,mental,lexical,
573,mental,cause,
575,mental,cause,
575,mental,lexical,
590,mental,lexical,
590,mental,cause,
559,mental,cause,
559,mental,lexical,
569,mental,cause,
569,mental,lexical,
598,mental,lexical,
598,mental,cause,
594,mental,lexical,
594,mental,cause,
577,mental,cause,
577,mental,lexical,
