workerid,proliferate.condition,hurt_cause,hurt_lexical,shock_cause,shock_lexical,error
588,physical,distal,proximal,distal,distal,
572,physical,distal,distal,proximal,distal,
578,physical,distal,distal,distal,distal,
586,physical,distal,distal,proximal,proximal,
582,physical,distal,proximal,distal,proximal,
562,physical,proximal,proximal,distal,distal,
599,physical,proximal,proximal,proximal,proximal,
595,physical,distal,proximal,distal,proximal,
568,physical,distal,proximal,distal,proximal,
558,physical,proximal,proximal,distal,proximal,
574,physical,distal,proximal,distal,proximal,
576,physical,distal,distal,distal,distal,
597,physical,distal,proximal,distal,proximal,
566,physical,distal,proximal,distal,proximal,
560,physical,proximal,proximal,proximal,proximal,
591,physical,proximal,proximal,distal,distal,
593,physical,distal,proximal,distal,proximal,
570,physical,distal,proximal,distal,proximal,
584,physical,distal,distal,proximal,proximal,
589,physical,distal,proximal,distal,proximal,
587,mental,distal,distal,distal,distal,
565,mental,distal,distal,proximal,proximal,
567,mental,distal,distal,distal,distal,
596,mental,distal,distal,distal,distal,
583,mental,distal,distal,distal,proximal,
601,mental,distal,distal,distal,distal,
571,mental,distal,distal,proximal,proximal,
561,mental,distal,distal,distal,distal,
579,mental,distal,distal,proximal,proximal,
563,mental,distal,distal,distal,distal,
581,mental,distal,distal,distal,distal,
592,mental,distal,distal,proximal,proximal,
585,mental,distal,distal,proximal,proximal,
573,mental,distal,distal,proximal,proximal,
575,mental,distal,distal,distal,distal,
590,mental,proximal,proximal,proximal,proximal,
559,mental,distal,distal,distal,distal,
569,mental,distal,distal,distal,distal,
598,mental,distal,distal,distal,distal,
594,mental,distal,distal,proximal,proximal,
577,mental,distal,distal,proximal,proximal,
