workerid,proliferate.condition,scenario_order,error
588,physical,shock,
588,physical,hurt,
572,physical,shock,
572,physical,hurt,
578,physical,shock,
578,physical,hurt,
586,physical,shock,
586,physical,hurt,
582,physical,hurt,
582,physical,shock,
562,physical,shock,
562,physical,hurt,
599,physical,shock,
599,physical,hurt,
595,physical,shock,
595,physical,hurt,
568,physical,hurt,
568,physical,shock,
558,physical,shock,
558,physical,hurt,
574,physical,hurt,
574,physical,shock,
576,physical,hurt,
576,physical,shock,
597,physical,shock,
597,physical,hurt,
566,physical,shock,
566,physical,hurt,
560,physical,hurt,
560,physical,shock,
591,physical,hurt,
591,physical,shock,
593,physical,shock,
593,physical,hurt,
570,physical,shock,
570,physical,hurt,
584,physical,hurt,
584,physical,shock,
589,physical,shock,
589,physical,hurt,
587,mental,shock,
587,mental,hurt,
565,mental,hurt,
565,mental,shock,
567,mental,shock,
567,mental,hurt,
596,mental,hurt,
596,mental,shock,
583,mental,hurt,
583,mental,shock,
601,mental,hurt,
601,mental,shock,
571,mental,hurt,
571,mental,shock,
561,mental,shock,
561,mental,hurt,
579,mental,hurt,
579,mental,shock,
563,mental,shock,
563,mental,hurt,
581,mental,shock,
581,mental,hurt,
592,mental,hurt,
592,mental,shock,
585,mental,hurt,
585,mental,shock,
573,mental,shock,
573,mental,hurt,
575,mental,hurt,
575,mental,shock,
590,mental,hurt,
590,mental,shock,
559,mental,hurt,
559,mental,shock,
569,mental,hurt,
569,mental,shock,
598,mental,hurt,
598,mental,shock,
594,mental,hurt,
594,mental,shock,
577,mental,shock,
577,mental,hurt,
