workerid,proliferate.condition,condition,error
380,mental,absence_mental,
372,mental,absence_mental,
425,mental,absence_mental,
412,mental,absence_mental,
457,mental,absence_mental,
382,mental,absence_mental,
445,mental,absence_mental,
395,mental,absence_mental,
448,mental,absence_mental,
407,mental,absence_mental,
388,mental,absence_mental,
386,mental,absence_mental,
438,mental,absence_mental,
423,mental,absence_mental,
374,mental,absence_mental,
436,mental,absence_mental,
434,mental,absence_mental,
401,mental,absence_mental,
378,mental,absence_mental,
430,mental,absence_mental,
429,physical,absence_physical,
447,physical,absence_physical,
455,physical,absence_physical,
383,physical,absence_physical,
394,physical,absence_physical,
428,physical,absence_physical,
373,physical,absence_physical,
441,physical,absence_physical,
431,physical,absence_physical,
437,physical,absence_physical,
387,physical,absence_physical,
385,physical,absence_physical,
400,physical,absence_physical,
435,physical,absence_physical,
381,physical,absence_physical,
375,physical,absence_physical,
424,physical,absence_physical,
410,physical,absence_physical,
377,physical,absence_physical,
458,physical,absence_physical,
