workerid,proliferate.condition,question_order,error
380,mental,cause_hurt,
380,mental,hurt,
372,mental,cause_hurt,
372,mental,hurt,
425,mental,cause_hurt,
425,mental,hurt,
412,mental,cause_hurt,
412,mental,hurt,
457,mental,hurt,
457,mental,cause_hurt,
382,mental,hurt,
382,mental,cause_hurt,
445,mental,hurt,
445,mental,cause_hurt,
395,mental,hurt,
395,mental,cause_hurt,
448,mental,hurt,
448,mental,cause_hurt,
407,mental,cause_hurt,
407,mental,hurt,
388,mental,cause_hurt,
388,mental,hurt,
386,mental,hurt,
386,mental,cause_hurt,
438,mental,hurt,
438,mental,cause_hurt,
423,mental,cause_hurt,
423,mental,hurt,
374,mental,hurt,
374,mental,cause_hurt,
436,mental,hurt,
436,mental,cause_hurt,
434,mental,cause_hurt,
434,mental,hurt,
401,mental,cause_hurt,
401,mental,hurt,
378,mental,hurt,
378,mental,cause_hurt,
430,mental,cause_hurt,
430,mental,hurt,
429,physical,hurt,
429,physical,cause_hurt,
447,physical,cause_hurt,
447,physical,hurt,
455,physical,cause_hurt,
455,physical,hurt,
383,physical,cause_hurt,
383,physical,hurt,
394,physical,hurt,
394,physical,cause_hurt,
428,physical,cause_hurt,
428,physical,hurt,
373,physical,hurt,
373,physical,cause_hurt,
441,physical,cause_hurt,
441,physical,hurt,
431,physical,cause_hurt,
431,physical,hurt,
437,physical,cause_hurt,
437,physical,hurt,
387,physical,hurt,
387,physical,cause_hurt,
385,physical,hurt,
385,physical,cause_hurt,
400,physical,hurt,
400,physical,cause_hurt,
435,physical,cause_hurt,
435,physical,hurt,
381,physical,hurt,
381,physical,cause_hurt,
375,physical,cause_hurt,
375,physical,hurt,
424,physical,hurt,
424,physical,cause_hurt,
410,physical,cause_hurt,
410,physical,hurt,
377,physical,cause_hurt,
377,physical,hurt,
458,physical,cause_hurt,
458,physical,hurt,
