workerid,proliferate.condition,cause_hurt,hurt,error
380,mental,Ben,Ben,
372,mental,Ben,Ben,
425,mental,Ben caused Kate to be hurt.,Ben,
412,mental,Ben did by forgetting about her party.,"Ben hurt kate's feelings by forgetting about her party but I don't know if I would say he actually ""hurt"" her.",
457,mental,Amy,Ben.,
382,mental,Ben,Ben,
445,mental,Ben because he is not coming to her party,Ben - the fact that he is not coming to her party.,
395,mental,ben,Ben didn't come to the party.,
448,mental,Ben,Ben,
407,mental,Ben's parents. These are kids. Kids forget. Even if they're excited about something they forget. It's up to parents to manage small children's schedules. ,Ben's parents. They should have managed his schedule better.,
388,mental,Ben forgetting about Kate's party,Ben's absence hurt Kate,
386,mental,Ben didn't come to her birthday party,Ben,
438,mental,Ben,Ben,
423,mental,Alex not attending her bday party. ,Alex,
374,mental,Ben,Ben,
436,mental,Ben, Ben,
434,mental,She is hurt because ben isn't coming to the party.,Ben hurt kate.,
401,mental,"Ben, since he forgot Kate's birthday party.","Ben, since he forgot about Kate's birthday party. ",
378,mental,Ben,Ben,
430,mental,Ben,Ben,
429,physical,Suzy,Suzy,
447,physical,Andy caused Andy to be hurt because he grabbed the scissors by the blade and not the handle.,Andy hurt himself.,
455,physical,The other boy Tommy. ,Tommy ,
383,physical,The child who didn't put the caps back on the scissors,The child who didn't recap the scissors.,
394,physical,Marcus, scissors,
428,physical,"A combination of Tommy and Suzy. Tommy for not putting the safety caps back on, Suzy for handing the scissors to Andy blade first. But no one is at fault because they are children and still learning.",Mix of Tommy and Suzy,
373,physical,The scissors ,Bella ,
441,physical,The kid that did not put on the safety covers back,The first kid,
431,physical,The scissors caused Andy to be hurt.,The scissors hurt Andy,
437,physical,Susie,Susie,
387,physical,sally,sally,
385,physical,"Similar to the answer before, the fault lies with the device itself and the individual that allowed them to be present in a room full of children. The question is why these scissors are in the classroom. ","The proximate cause of Andy getting hurt was the transference of ownership from Suzy to Andy. The root cause, however, is the presence of scissors on an unsafe design being in a classroom of children. Tommy forgot to place to safety caps back in to the scissors but most tools that present a sharp object hazard have a guard that is attached to the object and must be tampered with to remove the safety device. ",
400,physical,Suzy,"Suzy because she handed Andy the scissors with the pointy end toward him, even though there were no caps on the scissors.",
435,physical,Suzy,Suzy,
381,physical,The other boy,Cindy hurt Andy with the scissors,
375,physical,Andy because he should have been more careful in reaching for the scissors. ,Andy hurt Andy,
424,physical,Tommy caused Andy to be hurt,Tommy's failure to put the safety caps back on hurt Andy,
410,physical,Andy did. He should have been paying attention to the way he grabbed the scissors.,Andy hurt himself on the scissors.,
377,physical,The first kid that forgot to put the safety covers back on the scissors.,Suzy did by handing him the scissors.,
458,physical,andy for grabbing the scissors like that. ,andy,
