workerid,proliferate.condition,condition,error
399,non-visible,scare_not_visible,
397,non-visible,scare_not_visible,
403,non-visible,scare_not_visible,
393,non-visible,scare_not_visible,
426,non-visible,scare_not_visible,
391,non-visible,scare_not_visible,
415,non-visible,scare_not_visible,
413,non-visible,scare_not_visible,
406,non-visible,scare_not_visible,
453,non-visible,scare_not_visible,
446,non-visible,scare_not_visible,
417,non-visible,scare_not_visible,
449,non-visible,scare_not_visible,
443,non-visible,scare_not_visible,
389,non-visible,scare_not_visible,
451,non-visible,scare_not_visible,
433,non-visible,scare_not_visible,
440,non-visible,scare_not_visible,
409,non-visible,scare_not_visible,
419,non-visible,scare_not_visible,
414,visible,scare_visible,
420,visible,scare_visible,
416,visible,scare_visible,
432,visible,scare_visible,
418,visible,scare_visible,
439,visible,scare_visible,
398,visible,scare_visible,
408,visible,scare_visible,
442,visible,scare_visible,
405,visible,scare_visible,
390,visible,scare_visible,
422,visible,scare_visible,
392,visible,scare_visible,
427,visible,scare_visible,
411,visible,scare_visible,
456,visible,scare_visible,
454,visible,scare_visible,
402,visible,scare_visible,
459,visible,scare_visible,
450,visible,scare_visible,
444,visible,scare_visible,
