workerid,proliferate.condition,age,ethnicity,gender,race,error
399,non-visible,54,Non-Hispanic,Female,White,
397,non-visible,32,Non-Hispanic,Female,White,
403,non-visible,37,Non-Hispanic,Female,White,
393,non-visible,48,Non-Hispanic,Male,White,
426,non-visible,24,Non-Hispanic,Non-binary,Black/African American,
391,non-visible,29,Non-Hispanic,Female,White,
415,non-visible,40,Non-Hispanic,Male,White,
413,non-visible,66,Non-Hispanic,Male,White,
406,non-visible,61,Non-Hispanic,Male,White,
453,non-visible,64,Hispanic,Female,White,
446,non-visible,43,Non-Hispanic,Male,White,
417,non-visible,29,Non-Hispanic,Male,Black/African American,
449,non-visible,47,Hispanic,Female,White,
443,non-visible,21,Non-Hispanic,Male,White,
389,non-visible,25,Non-Hispanic,Male,White,
451,non-visible,25,Non-Hispanic,Female,White,
433,non-visible,40,Non-Hispanic,Male,White,
440,non-visible,27,Non-Hispanic,Male,White,
409,non-visible,50,Non-Hispanic,Female,White,
419,non-visible,38,Non-Hispanic,Female,White,
414,visible,47,Non-Hispanic,Female,White,
420,visible,28,Non-Hispanic,Male,White,
416,visible,49,Non-Hispanic,Female,Asian,
432,visible,29,Non-Hispanic,Male,White,
418,visible,34,Non-Hispanic,Non-binary,other_race,
439,visible,27,Non-Hispanic,Female,White,
398,visible,44,Non-Hispanic,Female,White,
408,visible,61,Non-Hispanic,Female,White,
442,visible,36,Non-Hispanic,Male,White,
405,visible,67,Non-Hispanic,Female,,
390,visible,57,Non-Hispanic,Female,White,
422,visible,38,Non-Hispanic,Female,Native Hawaiian/Pacific Islander,
392,visible,47,,Female,White,
427,visible,38,,,,
411,visible,24,Non-Hispanic,Female,White,
456,visible,45,Non-Hispanic,Female,White,
454,visible,49,Non-Hispanic,Male,White,
402,visible,48,Non-Hispanic,Male,White,
459,visible,50,Non-Hispanic,Female,White,
450,visible,48,Non-Hispanic,Female,White,
444,visible,28,Non-Hispanic,Male,White,
