workerid,proliferate.condition,question_order,error
399,non-visible,scare,
399,non-visible,cause_scare,
397,non-visible,scare,
397,non-visible,cause_scare,
403,non-visible,cause_scare,
403,non-visible,scare,
393,non-visible,cause_scare,
393,non-visible,scare,
426,non-visible,cause_scare,
426,non-visible,scare,
391,non-visible,scare,
391,non-visible,cause_scare,
415,non-visible,scare,
415,non-visible,cause_scare,
413,non-visible,cause_scare,
413,non-visible,scare,
406,non-visible,cause_scare,
406,non-visible,scare,
453,non-visible,cause_scare,
453,non-visible,scare,
446,non-visible,cause_scare,
446,non-visible,scare,
417,non-visible,cause_scare,
417,non-visible,scare,
449,non-visible,cause_scare,
449,non-visible,scare,
443,non-visible,scare,
443,non-visible,cause_scare,
389,non-visible,scare,
389,non-visible,cause_scare,
451,non-visible,cause_scare,
451,non-visible,scare,
433,non-visible,cause_scare,
433,non-visible,scare,
440,non-visible,cause_scare,
440,non-visible,scare,
409,non-visible,scare,
409,non-visible,cause_scare,
419,non-visible,scare,
419,non-visible,cause_scare,
414,visible,cause_scare,
414,visible,scare,
420,visible,cause_scare,
420,visible,scare,
416,visible,scare,
416,visible,cause_scare,
432,visible,cause_scare,
432,visible,scare,
418,visible,cause_scare,
418,visible,scare,
439,visible,scare,
439,visible,cause_scare,
398,visible,cause_scare,
398,visible,scare,
408,visible,cause_scare,
408,visible,scare,
442,visible,cause_scare,
442,visible,scare,
405,visible,cause_scare,
405,visible,scare,
390,visible,cause_scare,
390,visible,scare,
422,visible,cause_scare,
422,visible,scare,
392,visible,cause_scare,
392,visible,scare,
427,visible,scare,
427,visible,cause_scare,
411,visible,cause_scare,
411,visible,scare,
456,visible,scare,
456,visible,cause_scare,
454,visible,scare,
454,visible,cause_scare,
402,visible,cause_scare,
402,visible,scare,
459,visible,scare,
459,visible,cause_scare,
450,visible,cause_scare,
450,visible,scare,
444,visible,cause_scare,
444,visible,scare,
