workerid,proliferate.condition,condition,error
517,not visible,not_visible,
530,not visible,not_visible,
475,not visible,not_visible,
508,not visible,not_visible,
532,not visible,not_visible,
548,not visible,not_visible,
550,not visible,not_visible,
482,not visible,not_visible,
536,not visible,not_visible,
487,not visible,not_visible,
493,not visible,not_visible,
513,not visible,not_visible,
499,not visible,not_visible,
506,not visible,not_visible,
545,not visible,not_visible,
479,not visible,not_visible,
502,not visible,not_visible,
495,not visible,not_visible,
472,not visible,not_visible,
521,not visible,not_visible,
543,visible,visible,
516,visible,visible,
477,visible,visible,
488,visible,visible,
514,visible,visible,
507,visible,visible,
519,visible,visible,
486,visible,visible,
533,visible,visible,
557,visible,visible,
474,visible,visible,
555,visible,visible,
546,visible,visible,
531,visible,visible,
529,visible,visible,
515,visible,visible,
501,visible,visible,
539,visible,visible,
481,visible,visible,
523,visible,visible,
537,visible,visible,
