workerid,proliferate.condition,age,ethnicity,gender,race,error
517,not visible,25,Non-Hispanic,Female,White,
530,not visible,50,Hispanic,Male,Asian,
475,not visible,20,Non-Hispanic,Female,White,
508,not visible,51,Non-Hispanic,Female,White,
532,not visible,33,Non-Hispanic,Male,White,
548,not visible,29,Non-Hispanic,Female,White,
550,not visible,58,Non-Hispanic,Male,White,
482,not visible,43,Non-Hispanic,Female,White,
536,not visible,33,Hispanic,Female,White,
487,not visible,44,Non-Hispanic,Female,Black/African American,
493,not visible,43,Non-Hispanic,Female,White,
513,not visible,35,Non-Hispanic,Male,White,
499,not visible,37,Non-Hispanic,Female,White,
506,not visible,62,Non-Hispanic,Male,Black/African American,
545,not visible,34,Non-Hispanic,Female,White,
479,not visible,39,Non-Hispanic,Female,Black/African American,
502,not visible,45,Non-Hispanic,Male,White,
495,not visible,62,Non-Hispanic,Female,Black/African American,
472,not visible,24,Non-Hispanic,Female,White,
521,not visible,44,Non-Hispanic,Female,Black/African American,
543,visible,33,Non-Hispanic,Male,White,
516,visible,28,,Male,White,
477,visible,45,Non-Hispanic,Male,White,
488,visible,67,Non-Hispanic,Female,White,
514,visible,,Hispanic,Female,White,
507,visible,38,Non-Hispanic,Female,White,
519,visible,48,Non-Hispanic,Male,Asian,
486,visible,55,Non-Hispanic,Female,White,
533,visible,32,Non-Hispanic,Female,White,
557,visible,46,Non-Hispanic,Female,Asian,
474,visible,18,Non-Hispanic,Male,Asian,
555,visible,45,Non-Hispanic,Male,White,
546,visible,33,Non-Hispanic,Male,White,
531,visible,48,Non-Hispanic,Male,White,
529,visible,59,Non-Hispanic,Female,White,
515,visible,24,Non-Hispanic,Female,White,
501,visible,39,Non-Hispanic,Female,White,
539,visible,25,Hispanic,Female,Black/African American,
481,visible,37,Non-Hispanic,Female,White,
523,visible,25,Non-Hispanic,Male,Asian,
537,visible,57,Non-Hispanic,Female,White,
