workerid,proliferate.condition,question_order,error
517,not visible,lexical,
517,not visible,cause,
530,not visible,cause,
530,not visible,lexical,
475,not visible,lexical,
475,not visible,cause,
508,not visible,lexical,
508,not visible,cause,
532,not visible,cause,
532,not visible,lexical,
548,not visible,lexical,
548,not visible,cause,
550,not visible,lexical,
550,not visible,cause,
482,not visible,lexical,
482,not visible,cause,
536,not visible,lexical,
536,not visible,cause,
487,not visible,lexical,
487,not visible,cause,
493,not visible,lexical,
493,not visible,cause,
513,not visible,cause,
513,not visible,lexical,
499,not visible,cause,
499,not visible,lexical,
506,not visible,lexical,
506,not visible,cause,
545,not visible,cause,
545,not visible,lexical,
479,not visible,cause,
479,not visible,lexical,
502,not visible,lexical,
502,not visible,cause,
495,not visible,cause,
495,not visible,lexical,
472,not visible,lexical,
472,not visible,cause,
521,not visible,cause,
521,not visible,lexical,
543,visible,lexical,
543,visible,cause,
516,visible,cause,
516,visible,lexical,
477,visible,cause,
477,visible,lexical,
488,visible,lexical,
488,visible,cause,
514,visible,cause,
514,visible,lexical,
507,visible,cause,
507,visible,lexical,
519,visible,cause,
519,visible,lexical,
486,visible,cause,
486,visible,lexical,
533,visible,cause,
533,visible,lexical,
557,visible,lexical,
557,visible,cause,
474,visible,lexical,
474,visible,cause,
555,visible,cause,
555,visible,lexical,
546,visible,cause,
546,visible,lexical,
531,visible,cause,
531,visible,lexical,
529,visible,cause,
529,visible,lexical,
515,visible,lexical,
515,visible,cause,
501,visible,cause,
501,visible,lexical,
539,visible,cause,
539,visible,lexical,
481,visible,cause,
481,visible,lexical,
523,visible,lexical,
523,visible,cause,
537,visible,cause,
537,visible,lexical,
