workerid,proliferate.condition,scenario_order,error
517,not visible,excited,
517,not visible,scared,
530,not visible,scared,
530,not visible,excited,
475,not visible,scared,
475,not visible,excited,
508,not visible,scared,
508,not visible,excited,
532,not visible,excited,
532,not visible,scared,
548,not visible,scared,
548,not visible,excited,
550,not visible,excited,
550,not visible,scared,
482,not visible,excited,
482,not visible,scared,
536,not visible,scared,
536,not visible,excited,
487,not visible,excited,
487,not visible,scared,
493,not visible,scared,
493,not visible,excited,
513,not visible,scared,
513,not visible,excited,
499,not visible,excited,
499,not visible,scared,
506,not visible,scared,
506,not visible,excited,
545,not visible,scared,
545,not visible,excited,
479,not visible,scared,
479,not visible,excited,
502,not visible,scared,
502,not visible,excited,
495,not visible,excited,
495,not visible,scared,
472,not visible,excited,
472,not visible,scared,
521,not visible,excited,
521,not visible,scared,
543,visible,excited,
543,visible,scared,
516,visible,scared,
516,visible,excited,
477,visible,scared,
477,visible,excited,
488,visible,scared,
488,visible,excited,
514,visible,scared,
514,visible,excited,
507,visible,excited,
507,visible,scared,
519,visible,scared,
519,visible,excited,
486,visible,scared,
486,visible,excited,
533,visible,scared,
533,visible,excited,
557,visible,scared,
557,visible,excited,
474,visible,scared,
474,visible,excited,
555,visible,scared,
555,visible,excited,
546,visible,excited,
546,visible,scared,
531,visible,scared,
531,visible,excited,
529,visible,scared,
529,visible,excited,
515,visible,scared,
515,visible,excited,
501,visible,excited,
501,visible,scared,
539,visible,excited,
539,visible,scared,
481,visible,scared,
481,visible,excited,
523,visible,excited,
523,visible,scared,
537,visible,excited,
537,visible,scared,
