workerid,proliferate.condition,condition,error
130,mental_mental_absent,mental_mental_absent,
126,mental_mental_absent,mental_mental_absent,
118,mental_mental_absent,mental_mental_absent,
175,mental_mental_absent,mental_mental_absent,
122,mental_mental_absent,mental_mental_absent,
134,mental_mental_absent,mental_mental_absent,
183,mental_mental_absent,mental_mental_absent,
185,mental_mental_absent,mental_mental_absent,
138,mental_mental_absent,mental_mental_absent,
110,mental_mental_absent,mental_mental_absent,
154,mental_mental_absent,mental_mental_absent,
170,mental_mental_absent,mental_mental_absent,
146,mental_mental_absent,mental_mental_absent,
142,mental_mental_absent,mental_mental_absent,
158,mental_mental_absent,mental_mental_absent,
114,mental_mental_absent,mental_mental_absent,
162,mental_mental_absent,mental_mental_absent,
166,mental_mental_absent,mental_mental_absent,
106,mental_mental_absent,mental_mental_absent,
150,mental_mental_absent,mental_mental_absent,
155,physical_physical_present,physical_physical_present,
151,physical_physical_present,physical_physical_present,
163,physical_physical_present,physical_physical_present,
127,physical_physical_present,physical_physical_present,
103,physical_physical_present,physical_physical_present,
171,physical_physical_present,physical_physical_present,
167,physical_physical_present,physical_physical_present,
143,physical_physical_present,physical_physical_present,
111,physical_physical_present,physical_physical_present,
131,physical_physical_present,physical_physical_present,
147,physical_physical_present,physical_physical_present,
139,physical_physical_present,physical_physical_present,
107,physical_physical_present,physical_physical_present,
186,physical_physical_present,physical_physical_present,
173,physical_physical_present,physical_physical_present,
181,physical_physical_present,physical_physical_present,
177,physical_physical_present,physical_physical_present,
115,physical_physical_present,physical_physical_present,
159,physical_physical_present,physical_physical_present,
123,physical_physical_present,physical_physical_present,
187,physical_physical_absent,physical_physical_absent,
132,physical_physical_absent,physical_physical_absent,
152,physical_physical_absent,physical_physical_absent,
112,physical_physical_absent,physical_physical_absent,
144,physical_physical_absent,physical_physical_absent,
184,physical_physical_absent,physical_physical_absent,
136,physical_physical_absent,physical_physical_absent,
108,physical_physical_absent,physical_physical_absent,
104,physical_physical_absent,physical_physical_absent,
128,physical_physical_absent,physical_physical_absent,
172,physical_physical_absent,physical_physical_absent,
140,physical_physical_absent,physical_physical_absent,
160,physical_physical_absent,physical_physical_absent,
180,physical_physical_absent,physical_physical_absent,
164,physical_physical_absent,physical_physical_absent,
124,physical_physical_absent,physical_physical_absent,
168,physical_physical_absent,physical_physical_absent,
176,physical_physical_absent,physical_physical_absent,
188,physical_physical_absent,physical_physical_absent,
120,physical_physical_absent,physical_physical_absent,
156,physical_physical_absent,physical_physical_absent,
148,physical_physical_absent,physical_physical_absent,
137,mental_mental_present,mental_mental_present,
153,mental_mental_present,mental_mental_present,
145,mental_mental_present,mental_mental_present,
149,mental_mental_present,mental_mental_present,
113,mental_mental_present,mental_mental_present,
125,mental_mental_present,mental_mental_present,
182,mental_mental_present,mental_mental_present,
174,mental_mental_present,mental_mental_present,
141,mental_mental_present,mental_mental_present,
121,mental_mental_present,mental_mental_present,
105,mental_mental_present,mental_mental_present,
117,mental_mental_present,mental_mental_present,
109,mental_mental_present,mental_mental_present,
129,mental_mental_present,mental_mental_present,
169,mental_mental_present,mental_mental_present,
165,mental_mental_present,mental_mental_present,
161,mental_mental_present,mental_mental_present,
133,mental_mental_present,mental_mental_present,
178,mental_mental_present,mental_mental_present,
157,mental_mental_present,mental_mental_present,
