workerid,proliferate.condition,age,ethnicity,gender,race,error
130,mental_mental_absent,41,Non-Hispanic,Female,White,
126,mental_mental_absent,23,Non-Hispanic,Female,White,
118,mental_mental_absent,50,Non-Hispanic,Female,Black/African American,
175,mental_mental_absent,33,Non-Hispanic,Female,White,
122,mental_mental_absent,18,Non-Hispanic,Female,other_race,
134,mental_mental_absent,47,Non-Hispanic,Female,White,
183,mental_mental_absent,42,Non-Hispanic,Female,White,
185,mental_mental_absent,40,Non-Hispanic,Male,Asian,
138,mental_mental_absent,44,Non-Hispanic,Female,American Indian/Alaska Native,
110,mental_mental_absent,30,Non-Hispanic,Female,White,
154,mental_mental_absent,70,Non-Hispanic,Female,Black/African American,
170,mental_mental_absent,54,Non-Hispanic,Male,White,
146,mental_mental_absent,28,Non-Hispanic,Male,White,
142,mental_mental_absent,61,Non-Hispanic,Female,White,
158,mental_mental_absent,34,Non-Hispanic,Female,White,
114,mental_mental_absent,48,Hispanic,Male,White,
162,mental_mental_absent,56,Non-Hispanic,Female,White,
166,mental_mental_absent,43,Non-Hispanic,Female,White,
106,mental_mental_absent,26,Non-Hispanic,Non-binary,White,
150,mental_mental_absent,60,Non-Hispanic,Female,Asian,
155,physical_physical_present,34,Non-Hispanic,Male,White,
151,physical_physical_present,52,Non-Hispanic,Female,White,
163,physical_physical_present,41,Non-Hispanic,Male,White,
127,physical_physical_present,43,Non-Hispanic,Male,White,
103,physical_physical_present,63,Non-Hispanic,Female,White,
171,physical_physical_present,36,Non-Hispanic,Male,White,
167,physical_physical_present,35,Non-Hispanic,Male,White,
143,physical_physical_present,49,Non-Hispanic,Female,White,
111,physical_physical_present,55,Non-Hispanic,Male,White,
131,physical_physical_present,65,Non-Hispanic,Female,Black/African American,
147,physical_physical_present,30,Non-Hispanic,Non-binary,White,
139,physical_physical_present,38,Non-Hispanic,Female,Black/African American,
107,physical_physical_present,41,Non-Hispanic,Female,White,
186,physical_physical_present,50,,Male,White,
173,physical_physical_present,37,Non-Hispanic,Male,White,
181,physical_physical_present,23,Non-Hispanic,Female,White,
177,physical_physical_present,36,Non-Hispanic,Male,White,
115,physical_physical_present,47,Non-Hispanic,Female,White,
159,physical_physical_present,67,Non-Hispanic,Female,Black/African American,
123,physical_physical_present,28,Non-Hispanic,Female,Black/African American,
187,physical_physical_absent,73,Non-Hispanic,Female,White,
132,physical_physical_absent,25,Non-Hispanic,Male,White,
152,physical_physical_absent,55,Non-Hispanic,Female,White,
112,physical_physical_absent,85,Non-Hispanic,Female,White,
144,physical_physical_absent,59,Non-Hispanic,Male,White,
184,physical_physical_absent,36,Non-Hispanic,Male,White,
136,physical_physical_absent,60,Hispanic,Female,White,
108,physical_physical_absent,39,Non-Hispanic,Female,White,
104,physical_physical_absent,36,Hispanic,Male,White,
128,physical_physical_absent,43,Non-Hispanic,Female,White,
172,physical_physical_absent,38,Non-Hispanic,Female,Black/African American,
140,physical_physical_absent,50,Non-Hispanic,Female,White,
160,physical_physical_absent,56,Non-Hispanic,Male,White,
180,physical_physical_absent,24,Non-Hispanic,Female,White,
164,physical_physical_absent,64,Non-Hispanic,Female,White,
124,physical_physical_absent,44,Non-Hispanic,Male,White,
168,physical_physical_absent,54,Non-Hispanic,Male,White,
176,physical_physical_absent,31,Non-Hispanic,Female,Asian,
188,physical_physical_absent,56,Non-Hispanic,Male,White,
120,physical_physical_absent,28,Non-Hispanic,Non-binary,White,
156,physical_physical_absent,50,Non-Hispanic,Male,White,
148,physical_physical_absent,29,Non-Hispanic,Male,White,
137,mental_mental_present,34,Non-Hispanic,Female,White,
153,mental_mental_present,58,Non-Hispanic,Female,Asian,
145,mental_mental_present,27,Non-Hispanic,Female,White,
149,mental_mental_present,37,Non-Hispanic,Female,Asian,
113,mental_mental_present,46,Non-Hispanic,Male,White,
125,mental_mental_present,30,Non-Hispanic,Male,White,
182,mental_mental_present,24,Non-Hispanic,Female,White,
174,mental_mental_present,63,Non-Hispanic,Male,White,
141,mental_mental_present,27,,Female,White,
121,mental_mental_present,43,Non-Hispanic,Female,White,
105,mental_mental_present,58,Non-Hispanic,Female,White,
117,mental_mental_present,32,Non-Hispanic,Female,Black/African American,
109,mental_mental_present,25,Non-Hispanic,Female,White,
129,mental_mental_present,44,Non-Hispanic,Female,White,
169,mental_mental_present,51,Non-Hispanic,Non-binary,White,
165,mental_mental_present,27,Non-Hispanic,Male,White,
161,mental_mental_present,27,Non-Hispanic,Male,Asian,
133,mental_mental_present,37,Non-Hispanic,Male,White,
178,mental_mental_present,45,Non-Hispanic,Non-binary,White,
157,mental_mental_present,44,Non-Hispanic,Female,White,
