workerid,proliferate.condition,question_order,error
130,mental_mental_absent,break,
130,mental_mental_absent,break_cause,
130,mental_mental_absent,anger_cause,
130,mental_mental_absent,anger,
126,mental_mental_absent,break,
126,mental_mental_absent,break_cause,
126,mental_mental_absent,anger_cause,
126,mental_mental_absent,anger,
118,mental_mental_absent,anger,
118,mental_mental_absent,anger_cause,
118,mental_mental_absent,break,
118,mental_mental_absent,break_cause,
175,mental_mental_absent,break,
175,mental_mental_absent,break_cause,
175,mental_mental_absent,anger,
175,mental_mental_absent,anger_cause,
122,mental_mental_absent,anger,
122,mental_mental_absent,anger_cause,
122,mental_mental_absent,break,
122,mental_mental_absent,break_cause,
134,mental_mental_absent,break,
134,mental_mental_absent,break_cause,
134,mental_mental_absent,anger_cause,
134,mental_mental_absent,anger,
183,mental_mental_absent,anger_cause,
183,mental_mental_absent,anger,
183,mental_mental_absent,break_cause,
183,mental_mental_absent,break,
185,mental_mental_absent,anger_cause,
185,mental_mental_absent,anger,
185,mental_mental_absent,break,
185,mental_mental_absent,break_cause,
138,mental_mental_absent,anger,
138,mental_mental_absent,anger_cause,
138,mental_mental_absent,break_cause,
138,mental_mental_absent,break,
110,mental_mental_absent,break_cause,
110,mental_mental_absent,break,
110,mental_mental_absent,anger_cause,
110,mental_mental_absent,anger,
154,mental_mental_absent,break_cause,
154,mental_mental_absent,break,
154,mental_mental_absent,anger_cause,
154,mental_mental_absent,anger,
170,mental_mental_absent,break_cause,
170,mental_mental_absent,break,
170,mental_mental_absent,anger_cause,
170,mental_mental_absent,anger,
146,mental_mental_absent,break_cause,
146,mental_mental_absent,break,
146,mental_mental_absent,anger_cause,
146,mental_mental_absent,anger,
142,mental_mental_absent,anger_cause,
142,mental_mental_absent,anger,
142,mental_mental_absent,break,
142,mental_mental_absent,break_cause,
158,mental_mental_absent,anger_cause,
158,mental_mental_absent,anger,
158,mental_mental_absent,break,
158,mental_mental_absent,break_cause,
114,mental_mental_absent,break,
114,mental_mental_absent,break_cause,
114,mental_mental_absent,anger_cause,
114,mental_mental_absent,anger,
162,mental_mental_absent,anger,
162,mental_mental_absent,anger_cause,
162,mental_mental_absent,break_cause,
162,mental_mental_absent,break,
166,mental_mental_absent,break,
166,mental_mental_absent,break_cause,
166,mental_mental_absent,anger_cause,
166,mental_mental_absent,anger,
106,mental_mental_absent,anger_cause,
106,mental_mental_absent,anger,
106,mental_mental_absent,break_cause,
106,mental_mental_absent,break,
150,mental_mental_absent,break,
150,mental_mental_absent,break_cause,
150,mental_mental_absent,anger_cause,
150,mental_mental_absent,anger,
155,physical_physical_present,break,
155,physical_physical_present,break_cause,
155,physical_physical_present,anger,
155,physical_physical_present,anger_cause,
151,physical_physical_present,anger,
151,physical_physical_present,anger_cause,
151,physical_physical_present,break_cause,
151,physical_physical_present,break,
163,physical_physical_present,anger,
163,physical_physical_present,anger_cause,
163,physical_physical_present,break,
163,physical_physical_present,break_cause,
127,physical_physical_present,anger,
127,physical_physical_present,anger_cause,
127,physical_physical_present,break_cause,
127,physical_physical_present,break,
103,physical_physical_present,break,
103,physical_physical_present,break_cause,
103,physical_physical_present,anger_cause,
103,physical_physical_present,anger,
171,physical_physical_present,anger_cause,
171,physical_physical_present,anger,
171,physical_physical_present,break_cause,
171,physical_physical_present,break,
167,physical_physical_present,break,
167,physical_physical_present,break_cause,
167,physical_physical_present,anger_cause,
167,physical_physical_present,anger,
143,physical_physical_present,anger_cause,
143,physical_physical_present,anger,
143,physical_physical_present,break_cause,
143,physical_physical_present,break,
111,physical_physical_present,break_cause,
111,physical_physical_present,break,
111,physical_physical_present,anger,
111,physical_physical_present,anger_cause,
131,physical_physical_present,anger_cause,
131,physical_physical_present,anger,
131,physical_physical_present,break_cause,
131,physical_physical_present,break,
147,physical_physical_present,anger,
147,physical_physical_present,anger_cause,
147,physical_physical_present,break_cause,
147,physical_physical_present,break,
139,physical_physical_present,anger,
139,physical_physical_present,anger_cause,
139,physical_physical_present,break,
139,physical_physical_present,break_cause,
107,physical_physical_present,break,
107,physical_physical_present,break_cause,
107,physical_physical_present,anger,
107,physical_physical_present,anger_cause,
186,physical_physical_present,anger,
186,physical_physical_present,anger_cause,
186,physical_physical_present,break,
186,physical_physical_present,break_cause,
173,physical_physical_present,anger_cause,
173,physical_physical_present,anger,
173,physical_physical_present,break_cause,
173,physical_physical_present,break,
181,physical_physical_present,break_cause,
181,physical_physical_present,break,
181,physical_physical_present,anger,
181,physical_physical_present,anger_cause,
177,physical_physical_present,break,
177,physical_physical_present,break_cause,
177,physical_physical_present,anger_cause,
177,physical_physical_present,anger,
115,physical_physical_present,break_cause,
115,physical_physical_present,break,
115,physical_physical_present,anger_cause,
115,physical_physical_present,anger,
159,physical_physical_present,break_cause,
159,physical_physical_present,break,
159,physical_physical_present,anger_cause,
159,physical_physical_present,anger,
123,physical_physical_present,break,
123,physical_physical_present,break_cause,
123,physical_physical_present,anger,
123,physical_physical_present,anger_cause,
187,physical_physical_absent,break,
187,physical_physical_absent,break_cause,
187,physical_physical_absent,anger_cause,
187,physical_physical_absent,anger,
132,physical_physical_absent,anger,
132,physical_physical_absent,anger_cause,
132,physical_physical_absent,break,
132,physical_physical_absent,break_cause,
152,physical_physical_absent,anger_cause,
