workerid,proliferate.condition,age,ethnicity,gender,race,error
233,absent,37,Non-Hispanic,Male,White,
207,absent,31,Hispanic,Male,White,
214,absent,34,Non-Hispanic,Male,White,
211,absent,49,Hispanic,Male,Black/African American,
225,absent,47,Non-Hispanic,Female,White,
226,absent,32,Non-Hispanic,Female,White,
205,absent,32,Hispanic,Female,White,
199,absent,33,Non-Hispanic,Male,Asian,
191,absent,31,Non-Hispanic,Male,other_race,
197,absent,35,Non-Hispanic,Male,White,
216,absent,35,Non-Hispanic,Female,Asian,
209,absent,27,Hispanic,Female,White,
201,absent,39,Hispanic,Female,other_race,
203,absent,46,Non-Hispanic,Male,White,
231,absent,38,Non-Hispanic,Male,Asian,
212,absent,34,Non-Hispanic,Male,White,
220,absent,25,Non-Hispanic,Male,other_race,
222,absent,43,Non-Hispanic,Non-binary,Black/African American,
230,absent,29,Non-Hispanic,Male,White,
193,absent,42,Non-Hispanic,Male,White,
210,present,28,Hispanic,Female,other_race,
221,present,30,Non-Hispanic,Male,Black/African American,
224,present,44,Non-Hispanic,Female,White,
232,present,25,Non-Hispanic,Male,Black/African American,
206,present,39,Hispanic,Female,other_race,
217,present,42,Hispanic,Male,White,
204,present,36,Non-Hispanic,Female,White,
190,present,28,Non-Hispanic,Male,Asian,
208,present,46,Non-Hispanic,Male,White,
229,present,21,Non-Hispanic,Male,White,
194,present,28,Hispanic,Male,White,
219,present,26,Non-Hispanic,Female,Asian,
215,present,31,Hispanic,Non-binary,White,
202,present,34,Non-Hispanic,Male,White,
196,present,32,Non-Hispanic,Male,Asian,
227,present,38,Non-Hispanic,Female,White,
200,present,63,Non-Hispanic,Male,White,
192,present,45,Non-Hispanic,Male,White,
223,present,57,Non-Hispanic,Female,White,
198,present,22,Non-Hispanic,Male,Asian,
