workerid,proliferate.condition,condition,error
240,present,present,
264,present,present,
246,present,present,
238,present,present,
275,present,present,
234,present,present,
254,present,present,
269,present,present,
261,present,present,
248,present,present,
276,present,present,
267,present,present,
278,present,present,
271,present,present,
236,present,present,
250,present,present,
252,present,present,
257,present,present,
266,present,present,
242,present,present,
262,absent,absent,
247,absent,absent,
270,absent,absent,
279,absent,absent,
235,absent,absent,
265,absent,absent,
256,absent,absent,
280,absent,absent,
272,absent,absent,
243,absent,absent,
255,absent,absent,
249,absent,absent,
268,absent,absent,
253,absent,absent,
277,absent,absent,
263,absent,absent,
245,absent,absent,
237,absent,absent,
260,absent,absent,
239,absent,absent,
274,absent,absent,
