workerid,proliferate.condition,age,ethnicity,gender,race,error
240,present,57,Non-Hispanic,Female,White,
264,present,66,Non-Hispanic,Male,White,
246,present,63,Hispanic,Female,White,
238,present,62,Non-Hispanic,Female,White,
275,present,49,Non-Hispanic,Female,White,
234,present,45,Non-Hispanic,Female,White,
254,present,29,Non-Hispanic,Male,Asian,
269,present,25,Non-Hispanic,Female,White,
261,present,27,Non-Hispanic,Male,Native Hawaiian/Pacific Islander,
248,present,62,Non-Hispanic,Female,White,
276,present,31,Non-Hispanic,Male,other_race,
267,present,35,Hispanic,Male,White,
278,present,26,Non-Hispanic,Male,White,
271,present,51,Non-Hispanic,Male,White,
236,present,44,Non-Hispanic,Female,White,
250,present,35,Non-Hispanic,Male,White,
252,present,49,Non-Hispanic,Male,Asian,
257,present,42,Non-Hispanic,Male,White,
266,present,72,Non-Hispanic,Female,White,
242,present,65,Non-Hispanic,Male,White,
262,absent,31,Non-Hispanic,Female,Asian,
247,absent,72,Non-Hispanic,Male,White,
270,absent,37,Non-Hispanic,Female,White,
279,absent,31,Non-Hispanic,Female,Black/African American,
235,absent,43,Non-Hispanic,Female,White,
265,absent,44,Non-Hispanic,Female,Black/African American,
256,absent,32,Non-Hispanic,Female,Black/African American,
280,absent,49,Non-Hispanic,Female,White,
272,absent,60,Non-Hispanic,Female,White,
243,absent,81,Non-Hispanic,Female,Black/African American,
255,absent,68,Non-Hispanic,,White,
249,absent,31,Non-Hispanic,Male,Asian,
268,absent,51,Non-Hispanic,Female,White,
253,absent,61,Non-Hispanic,Female,White,
277,absent,40,Non-Hispanic,Male,White,
263,absent,36,Non-Hispanic,,White,
245,absent,20,Non-Hispanic,other_gender,White,
237,absent,27,Hispanic,Male,White,
260,absent,29,Non-Hispanic,Male,White,
239,absent,45,Non-Hispanic,Male,White,
274,absent,30,Non-Hispanic,Female,other_race,
