workerid,proliferate.condition,balloon_cause_pop,balloon_cause_sad,balloon_pop,balloon_sad,drum_anger,drum_break,drum_cause_anger,drum_cause_break,error
366,absent,Andy and Tommy,Andy,Andy and Tommy,Andy and Tommy,Amy,Amy and Kate,Amy pushed Kate into the drum so it was Amy who caused Ben to be angry.,Amy,
358,absent,"The two boys caused the balloon to pop, unintentionally, when they collided.",Suzy caused herself to be sad.  Neither boy deliberately popped the balloon and Suzy does not know how the balloon popped.  She is making an assumption.,"The balloon was popped by Tommy, Andy or a combination of the two of them when they collided.  ","No one person saddened Suzy.  Suzy was saddened because her balloon was popped, but she does not know why it popped or if anyone popped it.  Suzy is making an assumption that one, or both, of the boys popped the balloon.",Ben is angry at both Amy and Kate.,"Ultimately, Amy is responsible for breaking the drum as she pushed Kate into the drum.","Amy caused Ben to be angry as she pushed Kate into the drum, breaking it.",Amy caused the drum to break by pushing Kate into it.,
350,absent,Andy,Suzy,Tommy,Both Andy and Tommy,Amy,Amy,Amy,Amy,
339,absent,Andy hit Tommy with skateboard and popped balloon,Andy,Tommy ,Andy,Amy and Kate,Kate,Amy ,Any pushed Kate who fell onto to drum,
337,absent,Andy caused the balloon to pop/,Andy,Andy,Andy,amy,amy,Amy,amy,
329,absent,Andy,Andy,Andy,Andy,Amy,Amy is responsible. ,Amy,Amy,
323,absent,"The child on the skateboard accidentally bumped into the child in the yellow shirt while skating. This caused the yellow-shirt child to accidentally fall into the part of the fence where the balloon was, bumping into the balloon and causing it to pop under his weight. The popping of the balloon was not intentional. ","No one caused Suzy to be sad. It was no one's fault or doing. Suzy got sad because the balloon popped, but no one intentionally popped the balloon. ","The child in the yellow shirt popped the balloon, but it was absolutely unintentional and totally not his fault. ","No one. The balloon being popped was not intentionally caused by anyone, so it would no make any sense to put the blame on a person for Suzy being sad. ",Amy. ,Amy. ,Amy. ,Amy. ,
361,absent,The balloon popping was caused by Andy.,Both of the boys did.,Tommy popped the balloon.,Andy and Tommy did.,Both girls angered Ben for breaking the drum.,Kate broke the drum.,"Amy is the cause of the problem, so she caused Ben to be angry.",Amy caused the drum to break.,
363,absent,"I'd say the boy on the skateboard, if he wouldn't have ran into the other boy the balloon wouldn't have gotten popped","again it wasn't who, but what, the balloon being popped saddened her",i don't remember his name but the asian looking child got hit by the child on the skateboard which knocked the asian child into the balloon and it popped,"Probably both boys because she didn't see what happened , also I don't really think who saddened her but what saddened her","i wouldn't say who but what, he was angry his drum was broken","again I don't remember the names. Trust me, I've known people for 20 years and don't remember some names. The white girl was pushed by the black girl and fell into the drum and broke it","again, not so much who , but what","i'd say the black girl , if she wouldn't have pushed the white girl it probably wouldn't have got broken",
331,absent,The kid on the skateboard caused it to pop.,Both of the boys caused Suzy to be sad.,The boy on the skateboard pushed the boy going to the party into the balloon which caused it to pop.,The balloon being popped saddened Suzy.,Amy did because if she hadn't pushed Kate into the drum it wouldn't have broken.,Amy pushed Kate into the drum which caused it to break.,Amy pushing Kate caused Ben to be angry.,Amy caused the drum to break.,
333,absent,Andy,Andy,Andy,Andy,Kate,Amy,Amy,Kate,
370,absent,the boy on the skateboard who hit Tommy (boy in yellow).  I cannot recall the first name ,Tommy,Tommy,Tommy,Amy,"Kate, due to Amy pushing her",Amy,Amy,
352,absent,Tommy,Tommy,Tommy,Tommy,Amy,Amy,Amy,Amy,
341,absent,both the boys,the situation in general,tommy but because of andy,the balloon being popped in general,he is angry that the drum is broken and not sure who did it.,kate but because of amy pushing her,both amy and kate by breaking the drum,amy by pushing kate,
