workerid,proliferate.condition,scenario_order,error
366,absent,drum,
366,absent,balloon,
358,absent,balloon,
358,absent,drum,
350,absent,balloon,
350,absent,drum,
339,absent,drum,
339,absent,balloon,
337,absent,balloon,
337,absent,drum,
329,absent,drum,
329,absent,balloon,
323,absent,balloon,
323,absent,drum,
361,absent,drum,
361,absent,balloon,
363,absent,balloon,
363,absent,drum,
331,absent,balloon,
331,absent,drum,
333,absent,balloon,
333,absent,drum,
370,absent,balloon,
370,absent,drum,
352,absent,balloon,
352,absent,drum,
341,absent,drum,
341,absent,balloon,
345,absent,drum,
345,absent,balloon,
368,absent,drum,
368,absent,balloon,
343,absent,balloon,
343,absent,drum,
347,absent,balloon,
347,absent,drum,
356,absent,drum,
356,absent,balloon,
353,absent,drum,
353,absent,balloon,
367,present,balloon,
367,present,drum,
364,present,drum,
364,present,balloon,
332,present,drum,
332,present,balloon,
351,present,balloon,
351,present,drum,
340,present,balloon,
340,present,drum,
348,present,balloon,
348,present,drum,
360,present,balloon,
360,present,drum,
349,present,drum,
349,present,balloon,
328,present,balloon,
328,present,drum,
330,present,balloon,
330,present,drum,
346,present,drum,
346,present,balloon,
336,present,balloon,
336,present,drum,
369,present,drum,
369,present,balloon,
326,present,drum,
326,present,balloon,
342,present,balloon,
342,present,drum,
334,present,drum,
334,present,balloon,
338,present,drum,
338,present,balloon,
359,present,balloon,
359,present,drum,
362,present,balloon,
362,present,drum,
354,present,balloon,
354,present,drum,
